"Título","","","","","","","","","","",""
"Lista por Áreas de : H: Su hogar tiene: Conexión a Internet, H: Su hogar tiene: Conexión a TV por cable o satelital, H: Su hogar tiene: Teléfono celular, H: Su hogar tiene: Teléfono fijo","","","","","","","","","","",""
"Área Geográfica","","","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Código","Provincia","Sí tiene conexión a internet","No tiene conexión a internet","Sí tiene conexión a TV por cable o satelital","No tiene conexión a TV por cable o satelital","Sí tiene teléfono celular","No tiene teléfono celular","Sí tiene teléfono fijo","No tiene teléfono fijo",""
"","302","Apurímac, provincia: Andahuaylas","00 000 000 003 924","00 000 000 038 623","00 000 000 005 162","00 000 000 037 385","00 000 000 030 988","00 000 000 011 559","00 000 000 000 979","00 000 000 041 568",""
"","303","Apurímac, provincia: Antabamba","00 000 000 000 016","00 000 000 004 064","00 000 000 000 076","00 000 000 004 004","00 000 000 001 985","00 000 000 002 095","00 000 000 000 012","00 000 000 004 068",""
"","304","Apurímac, provincia: Aymaraes","00 000 000 000 250","00 000 000 008 495","00 000 000 000 285","00 000 000 008 460","00 000 000 005 880","00 000 000 002 865","00 000 000 000 061","00 000 000 008 684",""
"","305","Apurímac, provincia: Cotabambas","00 000 000 000 306","00 000 000 014 942","00 000 000 001 292","00 000 000 013 956","00 000 000 009 480","00 000 000 005 768","00 000 000 000 072","00 000 000 015 176",""
"","306","Apurímac, provincia: Chincheros","00 000 000 000 239","00 000 000 013 558","00 000 000 000 428","00 000 000 013 369","00 000 000 009 545","00 000 000 004 252","00 000 000 000 065","00 000 000 013 732",""
"","307","Apurímac, provincia: Grau","00 000 000 000 029","00 000 000 007 332","00 000 000 000 144","00 000 000 007 217","00 000 000 003 304","00 000 000 004 057","00 000 000 000 016","00 000 000 007 345",""
"","401","Arequipa, provincia: Arequipa","00 000 000 126 928","00 000 000 200 832","00 000 000 116 404","00 000 000 211 356","00 000 000 304 555","00 000 000 023 205","00 000 000 085 441","00 000 000 242 319",""
"","402","Arequipa, provincia: Camaná","00 000 000 003 284","00 000 000 015 785","00 000 000 008 577","00 000 000 010 492","00 000 000 016 873","00 000 000 002 196","00 000 000 002 027","00 000 000 017 042",""
"","403","Arequipa, provincia: Caravelí","00 000 000 001 312","00 000 000 010 954","00 000 000 006 430","00 000 000 005 836","00 000 000 010 945","00 000 000 001 321","00 000 000 000 713","00 000 000 011 553",""
"","404","Arequipa, provincia: Castilla","00 000 000 001 230","00 000 000 009 567","00 000 000 003 298","00 000 000 007 499","00 000 000 009 171","00 000 000 001 626","00 000 000 000 525","00 000 000 010 272",""
"","405","Arequipa, provincia: Caylloma","00 000 000 003 281","00 000 000 026 140","00 000 000 003 165","00 000 000 026 256","00 000 000 025 496","00 000 000 003 925","00 000 000 000 785","00 000 000 028 636",""
"","406","Arequipa, provincia: Condesuyos","00 000 000 000 272","00 000 000 004 777","00 000 000 000 706","00 000 000 004 343","00 000 000 003 815","00 000 000 001 234","00 000 000 000 191","00 000 000 004 858",""
"","407","Arequipa, provincia: Islay","00 000 000 003 542","00 000 000 013 225","00 000 000 009 833","00 000 000 006 934","00 000 000 014 889","00 000 000 001 878","00 000 000 002 579","00 000 000 014 188",""
"","408","Arequipa, provincia: La Unión","00 000 000 000 044","00 000 000 004 349","00 000 000 000 172","00 000 000 004 221","00 000 000 002 660","00 000 000 001 733","00 000 000 000 081","00 000 000 004 312",""
"","501","Ayacucho, provincia: Huamanga","00 000 000 016 018","00 000 000 062 248","00 000 000 015 194","00 000 000 063 072","00 000 000 066 694","00 000 000 011 572","00 000 000 008 957","00 000 000 069 309",""
"","502","Ayacucho, provincia: Cangallo","00 000 000 000 161","00 000 000 010 258","00 000 000 000 299","00 000 000 010 120","00 000 000 007 500","00 000 000 002 919","00 000 000 000 050","00 000 000 010 369",""
"","503","Ayacucho, provincia: Huanca Sancos","00 000 000 000 010","00 000 000 003 083","00 000 000 000 060","00 000 000 003 033","00 000 000 002 233","00 000 000 000 860","00 000 000 000 007","00 000 000 003 086",""
"","504","Ayacucho, provincia: Huanta","00 000 000 001 694","00 000 000 024 390","00 000 000 004 578","00 000 000 021 506","00 000 000 019 952","00 000 000 006 132","00 000 000 000 814","00 000 000 025 270",""
"","505","Ayacucho, provincia: La Mar","00 000 000 000 525","00 000 000 020 589","00 000 000 004 020","00 000 000 017 094","00 000 000 015 392","00 000 000 005 722","00 000 000 000 174","00 000 000 020 940",""
"","506","Ayacucho, provincia: Lucanas","00 000 000 000 352","00 000 000 017 818","00 000 000 001 846","00 000 000 016 324","00 000 000 012 490","00 000 000 005 680","00 000 000 000 107","00 000 000 018 063",""
